2026-07-13 11:27:57,810 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-13 11:28:02,170 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-13 11:28:02,180 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-07-13 11:28:02,719 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-07-13 11:28:02,719 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-07-13 11:28:03,215 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-07-13 11:28:03,216 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-07-13 11:28:03,388 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-07-13 11:28:03,388 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-07-13 11:28:03,545 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-07-13 11:28:03,546 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/af8d2091 params=None
2026-07-13 11:28:13,057 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/af8d2091 -> 200
2026-07-13 11:28:13,057 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/bc347e35 params=None
2026-07-13 11:28:13,415 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/bc347e35 -> 200
