2026-06-15 14:34:29,641 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-15 14:34:33,299 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-15 14:34:33,307 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-06-15 14:34:33,554 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-06-15 14:34:33,555 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-06-15 14:34:35,021 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-06-15 14:34:35,022 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/226aac5e params=None
2026-06-15 14:34:35,263 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/226aac5e -> 200
2026-06-15 14:34:35,263 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/226aac5e
2026-06-15 14:34:35,507 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/226aac5e -> 200
2026-06-15 14:34:35,508 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/226aac5e params=None
2026-06-15 14:34:35,876 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/226aac5e -> 200
2026-06-15 14:34:35,877 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/ee2d6e6f params=None
2026-06-15 14:34:36,133 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/ee2d6e6f -> 204
