2026-06-03 12:50:25,925 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-03 12:50:29,211 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-03 12:50:29,219 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-06-03 12:50:29,373 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-06-03 12:50:29,374 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive params=None
2026-06-03 12:50:29,538 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive -> 200
2026-06-03 12:50:29,539 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive params=None
2026-06-03 12:50:29,759 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive -> 200
2026-06-03 12:50:29,760 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/e44447fb/copy params=None
2026-06-03 12:50:29,901 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/e44447fb/copy -> 204
2026-06-03 12:50:29,901 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/e44447fb params=None
2026-06-03 12:50:30,076 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/e44447fb -> 204
