2026-04-22 09:50:10,278 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-22 09:50:15,801 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-22 09:50:15,806 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-04-22 09:50:16,021 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-04-22 09:50:16,022 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-04-22 09:50:16,435 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-04-22 09:50:16,436 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/c4f7c060 params=None
2026-04-22 09:50:16,748 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/c4f7c060 -> 200
2026-04-22 09:50:16,748 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/c4f7c060
2026-04-22 09:50:17,195 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/c4f7c060 -> 200
2026-04-22 09:50:17,196 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/c4f7c060 params=None
2026-04-22 09:50:18,280 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/c4f7c060 -> 200
2026-04-22 09:50:18,281 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/e7ab2759 params=None
2026-04-22 09:50:18,577 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/e7ab2759 -> 204
