2026-04-22 09:48:44,948 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-22 09:48:57,687 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-22 09:48:57,692 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-22 09:49:04,832 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-22 09:49:04,832 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-22 09:49:05,263 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-22 09:49:05,264 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/55eac115 params=None
2026-04-22 09:49:05,486 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/55eac115 -> 200
2026-04-22 09:49:05,486 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/55eac115 params=None
2026-04-22 09:49:05,806 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/55eac115 -> 200
2026-04-22 09:49:05,807 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/5f3dedda params=None
2026-04-22 09:49:06,112 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/5f3dedda -> 200
