2026-07-29 10:49:19,459 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-29 10:49:24,940 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-29 10:49:24,948 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-07-29 10:49:25,497 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-07-29 10:49:25,497 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-07-29 10:49:26,439 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-07-29 10:49:26,440 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/33ac562c
2026-07-29 10:49:27,107 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/33ac562c -> 200
2026-07-29 10:49:27,108 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/33ac562c params=None
2026-07-29 10:49:27,872 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/33ac562c -> 200
2026-07-29 10:49:27,872 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/f244854c params=None
2026-07-29 10:49:28,770 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/f244854c -> 200
