2026-06-26 11:14:10,846 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-26 11:14:15,656 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-26 11:14:15,666 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-06-26 11:14:15,912 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-06-26 11:14:15,914 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive params=None
2026-06-26 11:14:16,174 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive -> 200
2026-06-26 11:14:16,174 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive params=None
2026-06-26 11:14:16,818 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive -> 200
2026-06-26 11:14:16,818 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/6656a947/copy params=None
2026-06-26 11:14:17,018 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/6656a947/copy -> 204
2026-06-26 11:14:17,019 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/6656a947 params=None
2026-06-26 11:14:17,379 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/6656a947 -> 204
