2026-03-18 09:05:21,719 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-18 09:05:26,463 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-18 09:05:26,466 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-03-18 09:05:26,684 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-03-18 09:05:26,685 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive params=None
2026-03-18 09:05:26,904 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive -> 200
2026-03-18 09:05:26,905 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive params=None
2026-03-18 09:05:27,398 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive -> 200
2026-03-18 09:05:27,398 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/6e08bfff/copy params=None
2026-03-18 09:05:27,582 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/6e08bfff/copy -> 204
2026-03-18 09:05:27,583 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/6e08bfff params=None
2026-03-18 09:05:27,881 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/6e08bfff -> 204
