2026-03-24 09:06:41,741 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-24 09:06:52,721 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-24 09:06:52,725 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-24 09:06:53,018 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-24 09:06:53,019 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-24 09:06:53,454 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-24 09:06:53,454 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/90839aaf params=None
2026-03-24 09:06:53,622 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/90839aaf -> 200
2026-03-24 09:06:53,622 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/90839aaf params=None
2026-03-24 09:06:54,187 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/90839aaf -> 200
2026-03-24 09:06:54,187 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/b8cfa457 params=None
2026-03-24 09:06:54,750 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/b8cfa457 -> 200
